ID,Cofirm Type,COUNTY,Date
92,Trail Camera Photo,Dawes,11/19/09
93,Prey,Dawes,12/8/09
94,Trail Camera Photo,Sheridan,12/21/09
95,Trail Camera Photo,Sheridan,12/21/09
96,Mortality,Sheridan,2/21/10
97,Track,Thomas,2/6/10
98,Track,Dawes,2/9/10
99,Track,Dawes,2/27/10
100,DNA,Dawes,10/7/09
101,DNA,Sheridan,11/28/09
102,DNA,Dawes,11/26/09
103,Trail Camera Photo,Rock,5/8/10
104,Trail Camera Photo,Sioux,4/2/10
105,Photo,Hooker,4/1/09
106,Trail Camera Photo,Sheridan,5/19/10
107,Trail Camera Photo,Dawes,7/31/10
108,Trail Camera Photo,Dawes,8/13/10
109,Trail Camera Photo,Lincoln,8/8/10
110,DNA,Cherry,4/7/10
111,Trail Camera Photo,Dawes,8/15/10
112,Trail Camera Photo,Custer,8/25/10
113,Trail Camera Photo,Dawson,9/9/10
114,Photo,Dawes,9/11/10
115,Mortality,Box Butte,9/14/10
116,Mortality,Dawes,9/17/10
117,Track,Banner,10/8/10
118,Mortality,Scotts Bluff,10/19/10
119,Trail Camera Photo,Sheridan,10/15/10
120,Trail Camera Photo,Sheridan,9/11/10
121,Trail Camera Photo,Sheridan,9/20/10
122,Mortality,Dawes,10/25/10
123,Trail Camera Photo,Dawson,9/24/10
124,Trail Camera Photo,Custer,10/15/10
125,Trail Camera Photo,Polk,11/8/10
126,Trail Camera Photo,Howard,10/24/10
127,Trail Camera Photo,Valley,11/1/10
128,Mortality,Sioux,11/17/10
129,Trail Camera Photo,Sheridan,9/11/10
130,Trail Camera Photo,Sherman,10/1/10
131,Photo,Sioux,12/21/10
132,Trail Camera Photo,Dawson,12/23/10
133,Trail Camera Photo,Cherry,11/2/10
134,DNA,Dawes,7/28/10
135,Photo,Dawes,2/10/11
136,Photo,Dawes,2/11/11
137,Trail Camera Photo,Dawes,3/4/11
138,Photo,Blaine,4/25/11
139,Mortality,Saunders,4/30/11
140,Mortality,Buffalo,5/9/11
141,Trail Camera Photo,Sheridan,5/10/11
142,Trail Camera Photo,sheridan,5/10/11
143,Track,Lincoln,7/20/11
144,Track,Dawes,6/20/11
145,DNA,sheridan,4/7/11
146,Trail Camera Photo,Dawes,8/8/11
147,Track,Keya Paha,8/24/11
148,Trail Camera Photo,Dawes,8/31/11
149,Trail Camera Photo,Dawes,9/30/11
150,DNA,Sioux,3/17/11
151,Mortality,Knox,11/12/11
152,Trail Camera Photo,Sioux,9/13/11
153,Trail Camera Photo,Sioux,9/27/11
154,Trail Camera Photo,Sioux,11/19/11
155,Trail Camera Photo,Keya Paha,10/30/11
156,Trail Camera Photo,Sioux,10/31/11
157,Trail Camera Photo,Sioux,10/31/11
158,Trail Camera Photo,Brown,11/29/11
159,Trail Camera Photo,Sioux,9/28/11
160,Trail Camera Photo,Sioux,9/28/11
161,Trail Camera Photo,Keya Paha,11/27/11
162,Mortality,Dawes,12/26/11
163,Photo,Dawes,12/26/11
164,Photo,Dawes,12/26/11
165,Trail Camera Photo,Sioux,12/11/11
166,Trail Camera Photo,Sioux,12/11/11
167,Trail Camera Photo,Sioux,12/11/11
168,Trail Camera Photo,Sioux,11/30/11
169,Trail Camera Photo,Dawes,1/5/12
170,Trail Camera Photo,Rock,1/12/12
171,Trail Camera Photo,Brown,12/18/11
172,Trail Camera Photo,Keya Paha,10/23/11
173,Photo,Dawes,1/27/12
174,Trail Camera Photo,Rock,10/16/11
175,Photo,Dawes,2/9/12
176,DNA,Dawes,8/12/11
177,Mortality,Dawes,2/12/12
178,Trail Camera Photo,Sioux,12/11/11
179,Track,Thomas,2/15/12
180,Track,Sheridan,1/18/12
181,Track,Sheridan,1/18/12
182,Track,Thomas,7/15/11
183,Trail Camera Photo,Thurston,11/23/11
184,Trail Camera Photo,Scotts Bluff,3/3/12
185,Track,Thomas,2/12/12
186,DNA,Dawes,2/13/12
187,Track,Sioux,2/24/12
188,Trail Camera Photo,Dawes,3/23/12
189,Trail Camera Photo,Sioux,3/27/12
190,Trail Camera Photo,Sioux,3/27/12
191,Trail Camera Photo,Sioux,3/27/12
192,Trail Camera Photo,Dixon,2/4/12
193,Trail Camera Photo,Sioux,3/15/12
194,Trail Camera Photo,Custer,1/22/12
195,Trail Camera Photo,Custer,2/9/12
196,Trail Camera Photo,Custer,4/15/12
197,Trail Camera Photo,Holt,4/30/12
198,Trail Camera Photo,Dawes,5/11/12
199,Photo,Banner,7/8/12
200,Trail Camera Photo,Sioux,7/19/12
201,Trail Camera Photo,Dawes,8/16/12
202,Mortality,Kimball,8/18/12
203,Trail Camera Photo,Morrill,8/19/12
204,Trail Camera Photo,Sioux,7/31/12
205,Mortality,Scotts Bluff,8/27/12
206,DNA,Box Butte,8/23/12
207,Mortality,Sheridan,9/16/12
208,Photo,Sheridan,8/30/12
209,Photo,Sheridan,8/30/12
210,Photo,Sheridan,8/30/12
211,Trail Camera Photo,Lincoln,8/21/12
212,Trail Camera Photo,Scotts Bluff,9/24/12
213,Mortality,Sheridan,10/15/12
214,Trail Camera Photo,Rock,10/16/12
215,Mortality,Rock,11/10/12
216,Prey,Sheridan,9/3/12
217,Trail Camera Photo,Sioux,10/23/12
218,Trail Camera Photo,Cedar,10/28/12
219,Trail Camera Photo,Knox,11/14/12
220,Trail Camera Photo,Rock,11/25/12
221,Trail Camera Photo,Dawes,11/21/12
222,Trail Camera Photo,Sioux,12/1/12
223,Trail Camera Photo,Lincoln,12/12/12
224,Trail Camera Photo,Sheridan,11/13/12
225,Track,Scotts Bluff,1/5/13
226,Mortality,Scotts Bluff,1/9/13
227,DNA,Sioux,11/8/12
228,Track,Scotts Bluff,1/12/13
229,Track,Scotts Bluff,1/29/13
230,Mortality,Sheridan,2/8/13
231,Trail Camera Photo,Lincoln,11/24/12
232,Trail Camera Photo,Sheridan,7/26/12
233,Track,Cherry,1/23/13
234,Trail Camera Photo,Sioux,1/12/13
235,DNA,Dawes,1/7/13
236,Track,Cherry,2/7/13
237,Track,Cherry,2/25/13
238,Track,Dawes,2/25/13
239,Mortality,Dawes,3/28/13
240,Trail Camera Photo,Cherry,3/19/13
241,Photo,Dawes,5/4/13
242,DNA,Cherry,1/10/13
243,DNA,Scotts Bluff,2/20/13
244,Trail Camera Photo,Dawes,6/11/13
245,Trail Camera Photo,Sheridan,5/30/13
246,Trail Camera Photo,Morrill,7/18/13
247,Mortality,Sheridan,7/30/13
248,Track,Keith,8/4/13
249,DNA,Dawes,8/4/13
251,Prey,Dawes,8/19/13
250,Trail Camera Photo,Knox,10/10/12
252,Trail Camera Photo,Scotts Bluff,5/29/13
253,Trail Camera Photo,Scotts Bluff,7/13/13
254,Trail Camera Photo,Keya Paha,7/19/13
255,Trail Camera Photo,Keya Paha,8/26/13
256,Trail Camera Photo,Saunders,9/19/13
257,Trail Camera Photo,Dawes,10/24/13
258,Trail Camera Photo,Merrick,9/7/13
259,Photo,Dawes,8/15/13
260,Trail Camera Photo,Cherry,9/25/13
261,Trail Camera Photo,Cherry,11/8/13
262,Trail Camera Photo,Lincoln,10/24/13
263,Mortality,Sioux,12/20/13
264,Trail Camera Photo,Dawes,11/28/13
265,Mortality,Dawes,1/2/14
266,Mortality,Sioux,1/2/14
267,Trail Camera Photo,Keya Paha,10/24/13
268,Trail Camera Photo,Dawes,1/9/14
269,Track,Lincoln,2/3/14
270,Mortality,Sioux,2/1/14
271,Mortality,Custer,2/16/14
272,Track,Cherry,2/20/14
273,Trail Camera Photo,Brown,12/17/13
274,Trail Camera Photo,Brown,1/2/14
275,Mortality,Sheridan,2/26/14
276,Trail Camera Photo,Brown,2/24/14
277,Trail Camera Photo,Brown,3/12/14
278,Mortality,Sheridan,3/21/14
279,Trail Camera Photo,Dawes,12/1/13
280,Trail Camera Photo,Dawes,12/1/13
281,Trail Camera Photo,Dawes,4/5/14
282,Trail Camera Photo,Knox,3/22/14
283,Trail Camera Photo,Scotts Bluff,5/15/14
284,Trail Camera Photo,Scotts Bluff,5/15/14
285,Trail Camera Photo,Scotts Bluff,5/15/14
286,Mortality,Dawes,5/2/14
287,Trail Camera Photo,Dawes,4/28/14
288,DNA,Blaine,4/2/14
289,Trail Camera Photo,Keya Paha,1/18/14
290,Trail Camera Photo,Keya Paha,4/16/14
291,DNA,Cherry,3/3/14
292,DNA,Dawes,3/29/13
293,Mortality,Sioux,6/22/14
294,Trail Camera Photo,Keya Paha,5/21/14
295,Trail Camera Photo,Keya Paha,5/4/14
296,Trail Camera Photo,Keya Paha,6/18/13
297,Trail Camera Photo,Dawes,4/23/13
298,Mortality,Dawes,7/19/14
299,Mortality,Dawes,8/2/14
300,Photo,Box Butte,8/6/14
301,Trail Camera Photo,Knox,8/5/14
302,Trail Camera Photo,Knox,8/11/14
303,Mortality,Dawes,9/6/14
304,Trail Camera Photo,Hall,9/21/14
305,Trail Camera Photo,Holt,9/17/14
306,Mortality,Knox,10/5/14
307,Track,Dixon,8/31/14
308,Mortality,Wheeler,10/9/14
309,Trail Camera Photo,Dawes,10/14/14
310,Trail Camera Photo,Dawes,10/14/14
311,Trail Camera Photo,Dawes,10/14/14
312,Trail Camera Photo,Scotts Bluff,8/20/14
313,Photo,Cherry,10/24/14
314,Mortality,Dawes,10/23/14
315,Trail Camera Photo,Dakota,10/25/14
316,Trail Camera Photo,Keya Paha,7/8/14
317,Mortality,Dakota,11/17/14
318,Trail Camera Photo,Brown,11/4/14
319,Trail Camera Photo,Cherry,9/7/14
320,Trail Camera Photo,Banner,11/9/14
321,Track,Cherry,11/18/14
322,Trail Camera Photo,Keya Paha,8/27/14
323,Trail Camera Photo,Keya Paha,12/3/14
324,Trail Camera Photo,Dixon,11/10/14
325,Trail Camera Photo,Cherry,10/3/14
326,Trail Camera Photo,Cherry,10/30/14
327,Trail Camera Photo,Cherry,11/23/14
328,Trail Camera Photo,Cherry,12/2/14
329,Trail Camera Photo,Cherry,11/3/14
330,Trail Camera Photo,Cherry,10/26/14
331,Photo,Dawes,12/8/14
332,Mortality,Dawes,12/10/14
333,Track,Rock,12/21/14
334,Trail Camera Photo,Banner,12/14/14
335,Trail Camera Photo,Dawes,12/17/14
336,Track,Dawson,12/27/14
337,Track,Brown,12/28/14
338,Trail Camera Photo,Lincoln,12/26/14
339,Trail Camera Photo,Brown,12/24/14
340,Trail Camera Photo,Rock,12/22/14
341,Trail Camera Photo,Rock,11/30/14
342,Trail Camera Photo,Rock,4/4/14
343,Track,Rock,11/19/14
344,Track,Brown,12/25/14
345,Track,Buffalo,1/24/15
346,Trail Camera Photo,Scotts Bluff,6/13/14
347,Trail Camera Photo,Scotts Bluff,6/29/14
348,Trail Camera Photo,Richardson,1/22/15
349,Track,Buffalo,1/17/15
350,Trail Camera Photo,Dawes,1/19/15
351,Trail Camera Photo,Lincoln,12/6/14
352,Photo,Brown,3/10/15
353,Trail Camera Photo,Banner,1/22/15
354,Mortality,Sheridan,3/8/15
355,Mortality,Douglas,5/6/15
356,Mortality,Sioux,4/25/15
357,Research,Scotts Bluff,2/2/15
358,Research,Scotts Bluff,2/3/15
359,Research,Dawes,2/10/15
360,Research,Dawes,3/8/15
361,Research,Dawes,3/19/15
362,Research,Dawes,5/16/15
363,Trail Camera Photo,Cherry,1/28/15
364,Trail Camera Photo,Cherry,2/19/15
365,Trail Camera Photo,Cherry,3/31/15
366,Trail Camera Photo,Cherry,4/13/15
367,Trail Camera Photo,Cherry,5/8/15
368,Trail Camera Photo,Cherry,5/26/15
369,Track,Blaine,2/8/15
370,Trail Camera Photo,Keya Paha,4/4/15
371,Track,Cherry,2/20/15
372,Trail Camera Photo,Dawes,2/15/15
373,Photo,Lincoln,6/2/15
374,Trail Camera Photo,Dawes,6/29/15
375,Trail Camera Photo,Sioux,4/25/15
376,Trail Camera Photo,Sioux,11/15/14
377,Trail Camera Photo,Sioux,11/7/14
378,Trail Camera Photo,Sioux,2/5/15
379,Trail Camera Photo,Sioux,3/14/15
380,Trail Camera Photo,Sioux,3/15/15
381,Trail Camera Photo,Sioux,3/18/15
382,DNA,Keya Paha,2/15/15
383,Trail Camera Photo,Nemaha,7/18/15
384,Trail Camera Photo,Frontier,7/10/15
385,Trail Camera Photo,Nemaha,7/2/15
386,Trail Camera Photo,Nemaha,7/28/15
387,Trail Camera Photo,Nemaha,9/3/15
389,Trail Camera Photo,Richardson,8/6/15
388,Trail Camera Photo,Nemaha,9/15/15
390,Trail Camera Photo,Keya Paha,8/11/15
391,Trail Camera Photo,Brown,8/28/15
392,Trail Camera Photo,Keya Paha,4/24/15
393,Research,Dawes,10/11/15
